iteration,L1,L2,Gradient,BCE
6100,0.03209,0.00821,0.04286,0.22292
6150,0.03224,0.0082,0.04298,0.22122
6200,0.03215,0.00809,0.04309,0.22081
6250,0.03188,0.00796,0.0427,0.21904
6300,0.03155,0.00785,0.04237,0.21613
6350,0.03133,0.00773,0.0424,0.21603
6400,0.03113,0.00762,0.042,0.21412
6450,0.03108,0.00754,0.04214,0.21264
6500,0.03078,0.00742,0.04166,0.21058
6550,0.03061,0.00733,0.04154,0.20844
6600,0.03043,0.00724,0.04137,0.20709
6650,0.03053,0.00725,0.04167,0.20743
6700,0.03026,0.00714,0.04194,0.20525
6750,0.03007,0.00705,0.04182,0.20336
6800,0.02982,0.00695,0.04144,0.2016
6850,0.02999,0.00693,0.04216,0.20097
6900,0.02994,0.0069,0.04194,0.19991
6950,0.0302,0.00691,0.04261,0.2002
7000,0.03019,0.00687,0.04289,0.19947
7050,0.03014,0.00681,0.04275,0.19708
7100,0.02999,0.00672,0.0425,0.19552
7150,0.02982,0.00665,0.04235,0.19494
7200,0.02969,0.00659,0.04242,0.19432
7250,0.02942,0.00649,0.04196,0.19309
7300,0.02914,0.00639,0.04188,0.19106
7350,0.02906,0.00633,0.04232,0.18949
7400,0.02889,0.00625,0.04206,0.18851
7450,0.02892,0.0062,0.04213,0.18713
7500,0.02863,0.0061,0.04212,0.18905
7550,0.02838,0.00601,0.04175,0.18763
7600,0.02816,0.00596,0.04123,0.18595
7650,0.02837,0.00597,0.0413,0.18611
7700,0.02806,0.00588,0.04073,0.18378
7750,0.02835,0.00596,0.04075,0.18513
7800,0.02861,0.00596,0.04151,0.18519
7850,0.02858,0.00597,0.04111,0.18612
7900,0.0286,0.00594,0.04087,0.18809
7950,0.02846,0.00589,0.04139,0.18584
8000,0.02817,0.00581,0.04073,0.18398
8050,0.02823,0.00584,0.04086,0.18699
8100,0.02801,0.00575,0.0407,0.1875
8150,0.02772,0.00567,0.0403,0.18565
8200,0.02747,0.00559,0.04005,0.18361
8250,0.02724,0.00551,0.03965,0.18164
8300,0.02702,0.00543,0.0392,0.17957
8350,0.02681,0.00536,0.03918,0.17825
8400,0.02683,0.00532,0.03938,0.18062
8450,0.02673,0.00525,0.03957,0.17925
8500,0.02663,0.0052,0.03951,0.17797
8550,0.02638,0.00513,0.03911,0.17736
8600,0.02653,0.00515,0.03925,0.17843
8650,0.02652,0.00516,0.03933,0.1779
8700,0.02633,0.0051,0.03949,0.17662
8750,0.02621,0.00504,0.0396,0.17442
8800,0.02619,0.00502,0.03966,0.17412
8850,0.02598,0.00495,0.03918,0.17235
8900,0.02596,0.00496,0.0391,0.17351
8950,0.02575,0.00492,0.03887,0.17164
9000,0.02545,0.00484,0.03843,0.16952
9050,0.02551,0.00482,0.03877,0.17052
9100,0.02532,0.00476,0.03839,0.17166
9150,0.0253,0.00471,0.03835,0.17106
9200,0.02521,0.00467,0.03818,0.1703
9250,0.02505,0.00463,0.038,0.16942
9300,0.02487,0.00456,0.03789,0.16827
9350,0.02476,0.00452,0.03749,0.16768
9400,0.02511,0.00454,0.03749,0.1681
9450,0.02513,0.00452,0.03775,0.16738
9500,0.02494,0.00446,0.03751,0.16706
9550,0.02474,0.00439,0.03712,0.16907
9600,0.02458,0.00435,0.03698,0.16798
9650,0.02449,0.0043,0.03734,0.16921
9700,0.02475,0.00432,0.03764,0.17097
9750,0.02461,0.00427,0.03762,0.16958
9800,0.02463,0.00426,0.03784,0.16838
9850,0.02464,0.00423,0.03825,0.16836
9900,0.02444,0.00418,0.03784,0.16877
9950,0.02462,0.00421,0.03827,0.1688
10000,0.0245,0.00416,0.03884,0.16768
10050,0.02445,0.00414,0.03877,0.16698
10100,0.02452,0.00414,0.0391,0.16658
10150,0.02436,0.00409,0.03882,0.16541
10200,0.02418,0.00405,0.0384,0.16427
10250,0.02401,0.004,0.03814,0.16284
10300,0.02385,0.00394,0.03784,0.16248
10350,0.0238,0.00393,0.03817,0.16104
10400,0.0238,0.00393,0.03805,0.1601
10450,0.0237,0.00389,0.03796,0.16068
10500,0.02371,0.00388,0.03789,0.15964
10550,0.02367,0.00385,0.03853,0.16067
10600,0.0236,0.00382,0.03822,0.15887
10650,0.02366,0.00381,0.03843,0.16336
10700,0.02354,0.00377,0.03883,0.1633
10750,0.02348,0.00375,0.03877,0.16373
10800,0.02332,0.0037,0.03828,0.16336
10850,0.02341,0.00368,0.03863,0.16212
10900,0.02401,0.00387,0.03858,0.16427
10950,0.02412,0.00388,0.03884,0.16402
11000,0.02403,0.00386,0.03869,0.16198
11050,0.02386,0.0038,0.03837,0.16005
11100,0.02384,0.00378,0.03853,0.15975
11150,0.02374,0.00374,0.03844,0.15911
11200,0.02383,0.00376,0.03852,0.15784
11250,0.02367,0.00373,0.03824,0.15667
11300,0.02368,0.00371,0.03829,0.15645
11350,0.0236,0.00371,0.03805,0.15466
11400,0.02338,0.00366,0.03782,0.15507
11450,0.02329,0.00362,0.03791,0.15392
11500,0.02317,0.0036,0.03784,0.15327
11550,0.02292,0.00354,0.03747,0.15139
11600,0.02287,0.00353,0.03719,0.15071
11650,0.02285,0.00351,0.03722,0.15012
11700,0.02321,0.00362,0.0377,0.15102
11750,0.02336,0.00362,0.03802,0.15185
11800,0.02328,0.00359,0.03793,0.15094
11850,0.02301,0.00354,0.03756,0.15293
11900,0.02284,0.0035,0.03756,0.15118
11950,0.02293,0.00353,0.03838,0.15108
12000,0.02291,0.00353,0.03851,0.1501
12050,0.02276,0.00349,0.03845,0.14963
12100,0.023,0.00356,0.03875,0.14945
12150,0.02308,0.00356,0.03915,0.14887
12200,0.02298,0.00354,0.03888,0.14754
12250,0.02312,0.00355,0.03888,0.14727
12300,0.02304,0.00352,0.03863,0.14617
12350,0.02303,0.00351,0.03854,0.14551
12400,0.02291,0.00348,0.0383,0.14383
12450,0.02291,0.00347,0.03811,0.1442
12500,0.02285,0.00345,0.03793,0.14528
12550,0.02278,0.00342,0.03756,0.14773
12600,0.02265,0.00339,0.03727,0.14658
12650,0.02252,0.00335,0.03723,0.14666
12700,0.02256,0.00335,0.03702,0.14629
12750,0.02268,0.00335,0.03738,0.14536
12800,0.02261,0.00332,0.03761,0.14693
12850,0.02257,0.00331,0.03805,0.14772
12900,0.02247,0.00329,0.03816,0.14623
12950,0.02252,0.00328,0.03817,0.14827
13000,0.02236,0.00324,0.03784,0.14679
13050,0.02231,0.00323,0.03782,0.14668
13100,0.02231,0.00321,0.0376,0.14941
13150,0.0222,0.00318,0.03765,0.14845
13200,0.02201,0.00315,0.03801,0.14748
13250,0.02198,0.00315,0.03822,0.14778
13300,0.02194,0.00313,0.03839,0.14647
13350,0.02196,0.00312,0.03805,0.14633
13400,0.02184,0.00309,0.03761,0.14652
13450,0.02176,0.00306,0.03736,0.14601
13500,0.02162,0.00303,0.03706,0.14591
13550,0.02159,0.00301,0.03676,0.14602
13600,0.02144,0.00298,0.03667,0.14465
13650,0.02167,0.003,0.03662,0.14349
13700,0.02156,0.00298,0.03628,0.14288
13750,0.02165,0.00298,0.03648,0.1427
13800,0.02153,0.00295,0.03683,0.1413
13850,0.02161,0.00295,0.03735,0.14101
13900,0.02167,0.00297,0.03723,0.13989
13950,0.02185,0.00299,0.03714,0.14001
14000,0.02169,0.00296,0.03701,0.13869
14050,0.02158,0.00293,0.03686,0.13949
14100,0.02145,0.00291,0.03657,0.13912
14150,0.02148,0.0029,0.0366,0.1396
14200,0.02148,0.00289,0.03653,0.13998
14250,0.02131,0.00287,0.03606,0.13935
14300,0.02122,0.00285,0.03597,0.13809
14350,0.02167,0.00293,0.03708,0.13788
14400,0.02169,0.00295,0.03718,0.13641
14450,0.02182,0.00297,0.0373,0.13779
14500,0.02189,0.00298,0.03794,0.13698
14550,0.02171,0.00294,0.03758,0.13561
14600,0.02163,0.00293,0.03737,0.13461
14650,0.02173,0.00294,0.03777,0.13425
14700,0.02155,0.00291,0.03735,0.13359
14750,0.02154,0.00289,0.03713,0.13283
14800,0.02149,0.00288,0.03685,0.13286
14850,0.02155,0.0029,0.03681,0.13284
14900,0.02147,0.00293,0.03647,0.13186
14950,0.02153,0.00292,0.03669,0.13246
15000,0.02168,0.00293,0.03664,0.13206
15050,0.02194,0.003,0.03691,0.13166
15100,0.02176,0.00296,0.03654,0.13277
15150,0.02177,0.00299,0.03632,0.13269
15200,0.02172,0.003,0.03634,0.13169
15250,0.02188,0.00303,0.03654,0.13189
15300,0.0217,0.00299,0.03609,0.13145
15350,0.02168,0.00296,0.03606,0.13179
15400,0.02167,0.00295,0.0359,0.13191
15450,0.02159,0.00292,0.03599,0.13172
15500,0.02166,0.00292,0.03628,0.13142
15550,0.02146,0.00289,0.036,0.13093
15600,0.02141,0.0029,0.03569,0.12985
15650,0.02157,0.00293,0.03558,0.12976
15700,0.02146,0.00291,0.03549,0.1291
15750,0.02144,0.00289,0.03542,0.12793
15800,0.0216,0.00293,0.036,0.12784
15850,0.02159,0.00292,0.03609,0.12692
15900,0.02156,0.00291,0.03589,0.12597
15950,0.02156,0.00289,0.03622,0.127
16000,0.02168,0.00292,0.03628,0.12801
16050,0.02168,0.00289,0.03626,0.12746
16100,0.02179,0.00292,0.03612,0.126
16150,0.02162,0.00288,0.03599,0.12537
16200,0.02159,0.00287,0.03574,0.12438
16250,0.02163,0.00288,0.03586,0.12431
16300,0.02157,0.00287,0.03577,0.12345
16350,0.02158,0.00289,0.03589,0.12283
16400,0.02184,0.00293,0.03577,0.122
16450,0.0218,0.00291,0.03554,0.12157
16500,0.02168,0.0029,0.03539,0.12057
16550,0.02177,0.0029,0.03529,0.12155
16600,0.0218,0.00289,0.03524,0.1219
16650,0.02169,0.00287,0.03537,0.12094
16700,0.0218,0.00289,0.03622,0.12023
16750,0.02183,0.00289,0.03734,0.12158
16800,0.02184,0.00288,0.03719,0.12273
16850,0.02182,0.00287,0.03721,0.12289
16900,0.02191,0.0029,0.03757,0.12395
16950,0.02173,0.00286,0.03765,0.12267
17000,0.02168,0.00284,0.03759,0.12259
17050,0.0218,0.00286,0.0375,0.12211
17100,0.02177,0.00284,0.03716,0.12624
17150,0.02169,0.00282,0.0372,0.12503
17200,0.02152,0.00278,0.03679,0.12344
17250,0.02154,0.00277,0.03675,0.12281
17300,0.02184,0.00282,0.03751,0.12308
17350,0.02177,0.0028,0.03775,0.12335
17400,0.02199,0.00283,0.03871,0.1234
17450,0.02201,0.00284,0.03873,0.12491
17500,0.02189,0.00281,0.03835,0.1247
17550,0.02174,0.00277,0.03792,0.12717
17600,0.02189,0.00281,0.03814,0.12764
17650,0.02186,0.0028,0.03826,0.1304
17700,0.02176,0.00278,0.03799,0.13052
17750,0.0218,0.00287,0.03787,0.13043
17800,0.02174,0.00285,0.03823,0.13009
17850,0.02166,0.00283,0.038,0.13136
17900,0.02149,0.00279,0.03772,0.13121
17950,0.02144,0.00277,0.03735,0.12982
18000,0.02134,0.00275,0.03703,0.12926
18050,0.02121,0.00272,0.0368,0.13056
18100,0.02133,0.00274,0.03701,0.13017
18150,0.02152,0.0028,0.03744,0.12889
18200,0.02157,0.00279,0.03725,0.12899
18250,0.02149,0.00277,0.03725,0.12816
18300,0.02144,0.00276,0.03732,0.12977
18350,0.02137,0.00274,0.03687,0.12895
18400,0.02144,0.00274,0.03722,0.12883
18450,0.02139,0.00272,0.03699,0.12805
18500,0.02139,0.00271,0.03705,0.13108
18550,0.02132,0.00269,0.03698,0.13317
18600,0.02134,0.00269,0.03669,0.13432
18650,0.02145,0.00272,0.0372,0.13411
18700,0.02141,0.00272,0.03725,0.13463
18750,0.02131,0.0027,0.03708,0.13355
18800,0.02118,0.00268,0.03714,0.13281
18850,0.02122,0.00269,0.03714,0.1345
18900,0.02127,0.0027,0.03701,0.13324
18950,0.02129,0.0027,0.0373,0.13282
19000,0.02138,0.00272,0.03738,0.13483
19050,0.02129,0.00269,0.03731,0.13503
19100,0.02152,0.00275,0.03794,0.13399
19150,0.0216,0.00276,0.03803,0.13326
19200,0.02144,0.00274,0.0378,0.1351
19250,0.02137,0.00273,0.03753,0.13473
19300,0.02147,0.00274,0.03749,0.13496
19350,0.02138,0.00275,0.03726,0.13355
19400,0.0217,0.00282,0.0377,0.13273
19450,0.02168,0.00281,0.03781,0.13356
19500,0.02152,0.00279,0.03747,0.13265
19550,0.02151,0.00277,0.03716,0.13198
19600,0.02163,0.00278,0.03747,0.13127
19650,0.0215,0.00276,0.03739,0.13086
19700,0.02147,0.00274,0.03706,0.13223
19750,0.02122,0.00269,0.03664,0.13028
19800,0.02103,0.00266,0.03626,0.12927
19850,0.02117,0.00268,0.03657,0.12894
19900,0.02104,0.00266,0.03694,0.12869
19950,0.02105,0.00266,0.03698,0.12875
20000,0.02114,0.00266,0.03741,0.12913
20050,0.02147,0.00274,0.03822,0.12826
20100,0.02149,0.00274,0.03821,0.12711
20150,0.02143,0.00272,0.03784,0.12693
20200,0.0215,0.00272,0.03769,0.12607
20250,0.02138,0.0027,0.03736,0.12531
20300,0.02153,0.00271,0.03773,0.12545
20350,0.02161,0.00271,0.03793,0.12544
20400,0.02161,0.00271,0.03776,0.12517
20450,0.02149,0.00269,0.03749,0.12407
20500,0.02152,0.00268,0.03766,0.12366
20550,0.02163,0.00268,0.03778,0.12383
20600,0.02172,0.0027,0.03764,0.1237
20650,0.02155,0.00267,0.03733,0.12246
20700,0.02148,0.00265,0.03741,0.12446
20750,0.02182,0.00274,0.03754,0.12468
20800,0.0218,0.00274,0.03774,0.12531
20850,0.02174,0.00273,0.03753,0.12522
20900,0.02186,0.00275,0.03754,0.1257
20950,0.02187,0.00275,0.03761,0.12573
21000,0.02188,0.00274,0.03818,0.12681
21050,0.02187,0.00273,0.03815,0.12604
21100,0.02188,0.00276,0.03791,0.12598
21150,0.02198,0.00282,0.0379,0.1265
21200,0.02184,0.00279,0.03772,0.1256
21250,0.02173,0.00278,0.03739,0.12549
21300,0.02156,0.00275,0.03702,0.12514
21350,0.02139,0.00271,0.03667,0.12473
21400,0.0213,0.00269,0.03626,0.12532
21450,0.02128,0.00269,0.03619,0.12513
21500,0.02131,0.0027,0.03647,0.12471
21550,0.02137,0.00271,0.03625,0.12466
21600,0.02131,0.00272,0.03598,0.1252
21650,0.02128,0.00272,0.03582,0.12478
21700,0.02105,0.00269,0.03576,0.12348
21750,0.02133,0.00275,0.03591,0.12486
21800,0.02128,0.00275,0.03586,0.12461
21850,0.02129,0.00275,0.0358,0.12425
21900,0.02115,0.00272,0.03543,0.12555
21950,0.02102,0.0027,0.03541,0.12413
22000,0.02092,0.00269,0.03511,0.12483
22050,0.02074,0.00265,0.03497,0.12405
22100,0.02068,0.00264,0.03487,0.12354
22150,0.02064,0.00263,0.03476,0.12568
22200,0.02052,0.00261,0.03484,0.12499
22250,0.02066,0.00264,0.0348,0.12428
22300,0.02054,0.00262,0.03443,0.12333
22350,0.0206,0.00263,0.03454,0.12349
22400,0.02049,0.00261,0.03481,0.12487
22450,0.02048,0.00261,0.03507,0.12433
22500,0.0206,0.00262,0.03501,0.12501
22550,0.0204,0.00259,0.03487,0.12383
22600,0.02018,0.00256,0.0344,0.12271
22650,0.02011,0.00254,0.03434,0.12206
22700,0.01991,0.0025,0.03388,0.1214
22750,0.0198,0.00248,0.03385,0.12055
22800,0.01983,0.00248,0.03409,0.12099
22850,0.02003,0.00253,0.03444,0.12128
22900,0.02004,0.00252,0.03414,0.12057
22950,0.01998,0.00252,0.03432,0.11962
23000,0.01996,0.00251,0.03402,0.11958
23050,0.02002,0.00254,0.03407,0.11952
23100,0.01994,0.00252,0.03395,0.1193
23150,0.0199,0.00252,0.03383,0.11926
23200,0.01982,0.00251,0.0338,0.11891
23250,0.01976,0.00249,0.03367,0.11849
23300,0.01987,0.0025,0.03394,0.11802
23350,0.01972,0.00247,0.03364,0.11712
23400,0.01967,0.00246,0.03344,0.11618
23450,0.0197,0.00245,0.03333,0.11707
23500,0.01948,0.00241,0.03281,0.11647
23550,0.01942,0.0024,0.03301,0.1158
23600,0.01951,0.00241,0.03323,0.11557
23650,0.01939,0.00238,0.03307,0.11487
23700,0.01939,0.00239,0.03297,0.11382
23750,0.01936,0.00237,0.03269,0.11475
23800,0.01935,0.00237,0.03344,0.11405
23850,0.01936,0.00236,0.03326,0.11324
23900,0.01935,0.00235,0.03334,0.11306
23950,0.01922,0.00233,0.03305,0.11225
24000,0.01918,0.00231,0.03281,0.11205
24050,0.01916,0.00231,0.03282,0.11165
24100,0.01917,0.00231,0.03281,0.11089
24150,0.01929,0.00234,0.03303,0.11029
24200,0.01918,0.00231,0.03272,0.11129
24250,0.0192,0.00231,0.03269,0.11194
24300,0.01907,0.0023,0.03239,0.11189
24350,0.01911,0.00231,0.0324,0.11043
24400,0.01913,0.00231,0.03233,0.11134
24450,0.01897,0.00228,0.03227,0.11137
24500,0.01917,0.00233,0.03253,0.1115
24550,0.01911,0.00231,0.03285,0.11163
24600,0.01888,0.00227,0.03253,0.11034
24650,0.01898,0.00228,0.03296,0.10988
24700,0.01891,0.00227,0.03267,0.10942
24750,0.01895,0.00227,0.03264,0.10845
24800,0.01912,0.00228,0.03249,0.10888
24850,0.01909,0.00228,0.03255,0.10879
24900,0.01933,0.00234,0.03263,0.10811
24950,0.0192,0.00232,0.03236,0.10767
25000,0.01906,0.0023,0.03211,0.10818
25050,0.01898,0.00229,0.03189,0.10745
25100,0.01882,0.00226,0.03178,0.10702
25150,0.019,0.0023,0.03216,0.10672
25200,0.01915,0.00236,0.03225,0.10594
25250,0.01919,0.00237,0.03273,0.10537
25300,0.01906,0.00235,0.03246,0.10548
25350,0.01911,0.00237,0.03246,0.10495
25400,0.01906,0.00235,0.03234,0.10496
25450,0.01895,0.00232,0.03235,0.10582
25500,0.019,0.00231,0.0324,0.10625
25550,0.01881,0.00229,0.03205,0.1051
25600,0.01868,0.00226,0.03189,0.10681
25650,0.01872,0.00227,0.03202,0.10843
25700,0.01877,0.0023,0.03264,0.10781
25750,0.01895,0.00232,0.03288,0.1076
25800,0.01888,0.0023,0.03275,0.107
25850,0.01871,0.00228,0.03244,0.10645
25900,0.01869,0.00226,0.03242,0.10687
25950,0.01866,0.00224,0.03235,0.10703
26000,0.01865,0.00224,0.03213,0.1086
26050,0.01855,0.00222,0.03196,0.10802
26100,0.01869,0.00225,0.0322,0.10847
26150,0.01876,0.00229,0.03206,0.10763
26200,0.01864,0.00226,0.03231,0.10695
26250,0.01854,0.00224,0.03228,0.10643
26300,0.01867,0.00227,0.03257,0.10683
26350,0.01865,0.00225,0.03251,0.10707
26400,0.01855,0.00224,0.03214,0.10702
26450,0.01853,0.00226,0.03188,0.10593
26500,0.01849,0.00225,0.03205,0.10598
26550,0.01836,0.00222,0.03195,0.10596
26600,0.01839,0.00223,0.03186,0.10667
26650,0.0184,0.00223,0.03194,0.10778
26700,0.01832,0.00221,0.03172,0.10708
26750,0.01843,0.00223,0.0319,0.10769
26800,0.0184,0.00222,0.03181,0.10708
26850,0.01837,0.0022,0.03258,0.10777
26900,0.01831,0.00219,0.03246,0.10821
26950,0.01842,0.00219,0.03307,0.10785
27000,0.01856,0.00221,0.03299,0.10789
27050,0.01854,0.00221,0.03283,0.10749
27100,0.01858,0.0022,0.03284,0.10705
27150,0.01843,0.00218,0.03249,0.10663
27200,0.01843,0.00218,0.03279,0.10718
27250,0.01827,0.00216,0.03239,0.10952
27300,0.01829,0.00218,0.03245,0.10854
27350,0.01812,0.00216,0.03205,0.10754
27400,0.01811,0.00216,0.03219,0.10629
27450,0.01816,0.00217,0.03235,0.10561
27500,0.01814,0.00216,0.0321,0.10533
27550,0.01834,0.00223,0.0321,0.10715
27600,0.01819,0.00221,0.032,0.10653
27650,0.01803,0.00218,0.03178,0.10607
27700,0.01804,0.00217,0.03173,0.1057
27750,0.01816,0.00219,0.03169,0.10593
27800,0.0181,0.00217,0.03152,0.10547
27850,0.01809,0.00216,0.03215,0.10756
27900,0.01793,0.00213,0.0318,0.10623
27950,0.01805,0.00214,0.03169,0.10821
28000,0.01814,0.00215,0.03192,0.10963
28050,0.01804,0.00213,0.03175,0.10916
28100,0.01838,0.00218,0.03282,0.10973
28150,0.01857,0.00224,0.03317,0.10949
28200,0.01859,0.00222,0.03303,0.1108
28250,0.01862,0.00221,0.0328,0.11165
28300,0.01856,0.0022,0.03287,0.11067
28350,0.01863,0.00222,0.03266,0.11074
28400,0.01865,0.00221,0.03249,0.11102
28450,0.01864,0.00221,0.03228,0.11034
28500,0.01871,0.00221,0.03234,0.11079
28550,0.0188,0.00223,0.03257,0.11032
28600,0.01863,0.0022,0.03218,0.10951
28650,0.01862,0.00218,0.03206,0.10911
28700,0.01881,0.00225,0.0324,0.10924
28750,0.01898,0.00229,0.03229,0.10958
28800,0.01924,0.00242,0.03245,0.11226
28850,0.01916,0.00241,0.03232,0.11061
28900,0.01912,0.0024,0.03214,0.11111
28950,0.01914,0.00241,0.0322,0.11129
29000,0.01944,0.00245,0.03262,0.11204
29050,0.01944,0.00245,0.03286,0.11317
29100,0.01953,0.00246,0.03272,0.11421
29150,0.01949,0.00244,0.03304,0.1137
29200,0.01943,0.00242,0.03303,0.11367
29250,0.0196,0.00245,0.03325,0.11466
29300,0.01945,0.00241,0.03304,0.11494
29350,0.01959,0.00244,0.03298,0.11557
29400,0.01949,0.00242,0.03285,0.11476
29450,0.01937,0.0024,0.03246,0.11348
29500,0.0193,0.00237,0.03237,0.11308
29550,0.01914,0.00234,0.03216,0.11253
29600,0.01919,0.00233,0.03282,0.11175
29650,0.01924,0.00235,0.03306,0.11191
29700,0.0193,0.00235,0.0331,0.1115
29750,0.01931,0.00235,0.03294,0.11204
29800,0.01919,0.00233,0.0326,0.11443
29850,0.01911,0.00231,0.03244,0.11392
29900,0.01908,0.0023,0.03241,0.11366
29950,0.01898,0.00229,0.03223,0.11281
30000,0.01909,0.00229,0.03218,0.11415
30050,0.01917,0.0023,0.03228,0.11451
30100,0.01918,0.0023,0.03236,0.11368
30150,0.01911,0.00228,0.03225,0.11341
30200,0.01899,0.00227,0.03231,0.11308
30250,0.01905,0.00228,0.03227,0.11305
30300,0.01891,0.00226,0.03195,0.11302
30350,0.01902,0.00228,0.03231,0.11185
