epoch,iteration,val RMSE (m),val MAE (m),val E_T1 (%),val E_T2 (%),val E_tot (%),val MCC,val balanced acc,val mIoU,PrioStitch RMSE (m),PrioStitch MAE (m),PrioStitch E_T1 (%),PrioStitch E_T2 (%),PrioStitch E_tot (%),PrioStitch MCC,PrioStitch balanced acc,PrioStitch mIoU
37,186480,0.3524,0.0951,5.9357,1.1755,2.6647,0.9377,0.9644,0.9396,0.3725,0.084,3.9592,5.6014,5.3509,0.8224,0.9522,0.8349
38,191520,0.3442,0.0926,5.9823,1.1065,2.6318,0.9385,0.9646,0.9403,0.3827,0.0839,3.9967,5.5179,5.2859,0.824,0.9524,0.8364
39,196560,0.3488,0.0934,5.7911,1.1739,2.6183,0.9388,0.9652,0.9406,0.35,0.0815,3.9064,5.4205,5.1896,0.8268,0.9534,0.8389
40,201600,0.3502,0.0924,5.7555,1.1524,2.5924,0.9394,0.9655,0.9412,0.375,0.0823,3.8071,5.3784,5.1387,0.8285,0.9541,0.8402
41,206640,0.3569,0.0904,5.8332,1.1304,2.6016,0.9392,0.9652,0.941,0.3945,0.0825,3.9414,5.3289,5.1173,0.8287,0.9536,0.8406
42,211680,0.3556,0.0883,5.8194,1.1038,2.579,0.9397,0.9654,0.9415,0.3891,0.0813,3.851,5.4289,5.1882,0.827,0.9536,0.8389
43,216720,0.3553,0.0874,5.7818,1.0736,2.5465,0.9405,0.9657,0.9422,0.4099,0.0824,3.9003,5.4522,5.2155,0.8262,0.9532,0.8382
44,221760,0.353,0.0863,5.9041,1.0427,2.5635,0.9401,0.9653,0.9418,0.3912,0.08,3.8348,5.4467,5.2008,0.8267,0.9536,0.8386
45,226800,0.3512,0.0859,5.8018,1.0733,2.5525,0.9404,0.9656,0.942,0.3821,0.0802,3.8309,5.8095,5.5077,0.8185,0.9518,0.8312
46,231840,0.3607,0.0858,5.7157,1.1102,2.5509,0.9404,0.9659,0.9421,0.3784,0.0787,3.7847,5.62,5.3401,0.8231,0.953,0.8353
47,236880,0.3542,0.0843,5.7926,1.0456,2.5306,0.9409,0.9658,0.9425,0.3785,0.0765,3.8189,5.2581,5.0386,0.8312,0.9546,0.8426
48,241920,0.3534,0.0838,5.8442,1.0436,2.5454,0.9405,0.9656,0.9422,0.3846,0.0754,3.7232,5.0694,4.8641,0.8362,0.956,0.8471
49,246960,0.3548,0.0838,5.7677,1.0481,2.5246,0.941,0.9659,0.9427,0.3286,0.0712,3.7083,4.9421,4.7539,0.8393,0.9567,0.8499
50,252000,0.3591,0.0829,5.7876,1.0178,2.5099,0.9414,0.966,0.943,0.3238,0.0707,3.641,4.8806,4.6915,0.8412,0.9574,0.8515
