scene,n_cells,n_cells_valid_gt,n_cells_with_return,n_cells_had_ground,n_cells_err_valid,alpha_metres,rmse_m,mae_m,bias_m,p95_abs_err_m,frac_within_20cm,frac_within_50cm,rmse_ground_m,rmse_nonground_m,n_err_ground,n_err_nonground,n_cells_cls_valid,n_gt_ground,n_gt_non_ground,n_fp,n_fn,e_t1_pct,e_t2_pct,e_tot_pct,e_t1_pct_logit,e_t2_pct_logit,e_tot_pct_logit
NU0545nw_P_12498_20220119_20220119,1000000,999998,999627,927086,927086,0.20000000298023224,0.03235333040356636,0.019258685410022736,0.0025041364133358,0.05931985378265381,0.9972720977341908,0.9998425173069165,0.028357602655887604,0.0718960240483284,875562,51524,999625,896078,103547,18302,15990,17.675065429225377,1.7844428721606824,3.4304864324121547,27.7332998541725,2.3718917326393463,4.9989746154808055
NU0545se_P_12498_20220119_20220119,1000000,1000000,995458,944300,944300,0.20000000298023224,0.02508411556482315,0.015420139767229557,0.006782470270991325,0.04143238067626953,0.9985926082812665,0.9999248120300752,0.022177288308739662,0.062346357852220535,906091,38209,995458,918514,76944,7166,5259,9.31326679143273,0.5725552359572091,1.248169184435707,9.075431482636724,0.9502304809725274,1.5782684955065909
NU0545sw_P_12498_20220119_20220119,1000000,999998,995136,949801,949799,0.20000000298023224,0.026064099743962288,0.016720226034522057,0.004652366973459721,0.042652200907468796,0.9984291413235853,0.9999463044286212,0.023593995720148087,0.07559525221586227,927212,22587,995134,948258,46876,9698,5097,20.688625309326735,0.5375119429522345,1.4867344498328867,26.19677446881133,0.5713634896831875,1.7784539569545408
NU0546nw_P_12498_20220119_20220119,94710,47261,45619,41462,41306,0.20000000298023224,0.10879457741975784,0.025773338973522186,0.01327737607061863,0.06687641143798828,0.9966348714472474,0.9990074081247277,0.03207477554678917,0.9089510440826416,40765,541,45427,42690,2737,1599,314,58.42162952137377,0.7355352541578825,4.2111519580866,87.39495798319328,0.17100023424689623,5.426288330728421
NU0546se_P_12498_20220119_20220119,835000,632949,432288,416051,415974,0.20000000298023224,0.013217626139521599,0.008270274847745895,-0.0003166127426084131,0.027476871386170387,0.9999567280647348,1.0,0.013035893440246582,0.031065676361322403,413478,2496,432169,425872,6297,1937,3384,30.76067968874067,0.7946049517225833,1.2312313007180062,39.39971414959505,2.3337998271781193,2.873875729170764
NU0546sw_P_12498_20220119_20220119,1000000,930010,844466,778501,778493,0.20000000298023224,0.05505406856536865,0.02300398238003254,-0.008061875589191914,0.08289499580860138,0.9866768230414403,0.9983943336677401,0.050953105092048645,0.12493786960840225,752486,26007,844458,776245,68213,8878,28738,13.015114421004794,3.7021816565646155,4.4544548100675225,23.41195959714424,2.965687379628854,4.617281143644799
NU0640ne_P_12498_20220119_20220119,713000,447889,440044,422425,422401,0.20000000298023224,0.026431767269968987,0.0168494563549757,0.012217468582093716,0.041965484619140625,0.9983238676044801,0.9999100380917659,0.02059119939804077,0.09510692209005356,408945,13456,439908,413358,26550,1091,376,4.109227871939736,0.0909623135393533,0.3334788182983715,4.5386064030131825,0.10233260273177246,0.37007737981577965
NU0640se_P_12498_20220119_20220119,60816,30720,30334,27758,27726,0.20000000298023224,0.04024305194616318,0.02735796943306923,0.020589765161275864,0.06811714172363281,0.99675394936161,0.9995311260188993,0.03201649338006973,0.12362253665924072,26570,1156,30248,27199,3049,387,52,12.692686126598884,0.19118349939336005,1.4513356254959004,16.103640537881272,0.05514908636346925,1.6728378735784184
NU0641ne_P_12498_20220119_20220119,1000000,999992,999799,988706,988701,0.20000000298023224,0.02090314030647278,0.016359636560082436,0.015204615890979767,0.03688812255859375,0.9998240115060064,0.9999828057218512,0.019780181348323822,0.09164398908615112,983060,5641,999791,985762,14029,2062,168,14.698125311854017,0.01704265329765197,0.22304661674289927,14.584075842896857,0.023839425743739363,0.22814768286571893
NU0641nw_P_12498_20220119_20220119,801000,550053,531211,525040,525011,0.20000000298023224,0.023403048515319824,0.01320673804730177,0.00869541522115469,0.032118797302246094,0.9984019382451035,0.9998247655763403,0.016702143475413322,0.10963574051856995,512994,12017,531100,514628,16472,468,870,2.8411850412821757,0.1690541517367885,0.2519299566936547,4.0189412336085475,0.18051874363617992,0.2995669365467897
NU0641se_P_12498_20220119_20220119,1000000,926646,920920,879928,879909,0.20000000298023224,0.020233601331710815,0.013801340945065022,0.011188737116754055,0.03559112548828125,0.9996420084349632,0.9999636326029169,0.0171677153557539,0.06654077023267746,855496,24413,920899,861827,59072,873,365,1.4778575297941494,0.04235188732773515,0.1344338521379652,1.5218716143011917,0.041191561647523224,0.13617128479887589
NU0641sw_P_12498_20220119_20220119,137334,68717,61250,61025,61016,0.20000000298023224,0.017876362428069115,0.01362173818051815,0.007250041700899601,0.030176639556884766,0.9998197194178576,1.0,0.016308225691318512,0.11312771588563919,60755,261,61231,60808,423,25,0,5.91016548463357,0.0,0.04082899185053323,5.91016548463357,0.0032890409156689907,0.04409531119857588
NU0642ne_P_12498_20220119_20220119,1000000,999528,999952,945093,945078,0.20000000298023224,0.028986934572458267,0.021368669345974922,0.017035873606801033,0.04716682434082031,0.9985112339933847,0.9999735471569542,0.025892505422234535,0.07479401677846909,912482,32596,999480,918274,81206,2298,3012,2.8298401595941187,0.3280066733894241,0.5312762636571017,3.5243701204344506,0.2959900857478269,0.5582903109617001
NU0642nw_P_12498_20220119_20220119,1000000,999999,999781,924949,924948,0.20000000298023224,0.04274787753820419,0.026077765971422195,0.014876858331263065,0.07655292749404907,0.9948072756522529,0.9995697055402033,0.02965407818555832,0.08325622975826263,780065,144883,999780,791021,208759,7614,4823,3.6472679022221794,0.6097183260621399,1.2439736742083258,4.4908243476927945,0.4969526725586299,1.3308927964152113
